Serial number,Urdu word,Roman Urdu Words,English meaning of the word
5878,صاحبزادے,sahib-zaade,"One of genteel family, a young gentleman, young master, (in polite speech) your son, an inexperienced youth, a greenhorn"
5879,عالیہ,'āliya,feminine of عالی ('ālī)
5880,عہدوں,'uhdõ,oblique plural of عُہْدَہ ('uhda)
5881,فار,faar,"rat, mouse"
5882,مانوس,mānūs,"familiar, intimate, attached"
5883,مرتضیٰ,murtazaa,"chosen, selected"
5884,مصدر,masdar,"source, root, origin, a term in grammar"
5885,معاش,ma'āš,economy
5886,معزز,mu'azziz,"honourable, honoured, esteemed, dignified, respectable"
5887,ملبوسات,malbuusaat,"clothes, dresses"
5888,منبع,mamba',"fount, spring, fountain"
5889,مؤلف,mw'lf,author
5890,مکرمہ,mkrmh,Mukarmah
5891,می,maiyaa,"kindness, mercy"
5892,نساخ,nsakh,reproduction
5893,وارنٹ,warrant-rihaa.ii,"release order, release warrant"
5894,وقفہ,vaqfa,"space, gap"
5896,پارے,paare,pieces
5897,پراسرار,pur-asraar,"mysterious, weird, arcane"
5898,پرہیز,parhez,"abstinence, forbearance, temperance, keeping aloof, caution, continence, care, prevention, sobriety"
5899,پستی,pastii,"depression (in land), abjection, backwardness, lowness, inferiority, baseness"
5900,پیج,paij,"solemn declaration, agreement, engagement, promise, vow"
5901,چھے,chhe,six
5904,کفن,kafan,"cloth in which a dead person is wrapped for burial, shroud, winding-sheet, grave-clothes"
5905,کوہستان,kohistaan,"mountainous country, hilly tract, highland"
5906,کھولے,kholnā,to open
5907,گستاخی,gustāxī,"arrogance, insolence"
5910,الوطنی,hubb-ul-vatanii,patriotism
5911,اڑانے,uṛānā,to cause to fly
5912,اکائی,akay'i,Unit
5913,ایشیائی,ishiay'i,Asian
5914,بالترتیب,baltrtib,respectively
5915,برازیل,brāzīl,Brazil (a large Portuguese-speaking country in South America)
5916,برسی,barsī,death anniversary
5917,برہم,barham,"confused, vexed"
5918,بچیاں,btchian,Girls
5919,بھال,bhaal,"spike, head of spear or lance, point of an arrow"
5920,بینکوں,baiṅk,bank
5921,تاریکی,tārīkī,darkness
5922,تلافی,talaafii,"making amends, reparation, compensation, recompense, redress"
5923,تئیں,ty'in,towards
5924,تھائی,thay'i,Thai
5925,ثناء,thna',Sana
5926,جلاوطنی,jalaa-vatanii,"exile, banishment"
5927,جنون,junūn,"lunacy, insanity, madness, craziness"
5928,حفاظتی,hifaazatii,"protective, related to protection, security related"
5929,خسارے,xisārah,deficit
5930,خلل,xalal,"break, breach"
5931,دتاسی,dtasi,yours
5932,رغبت,raGbat,"inclination, attachment"
5933,روانی,ravaanii,"sharpness, speed, swiftness"
5934,زکریا,zakariyyā,"Zakariya, Zechariah, Zacharias"
5935,سان,saan,brim stone
5937,شاہکار,shaahkaar,"anything great, pure, magnificent"
5938,شعبدہ,sho'bada,"juggling act, conjuring trick"
5939,عدالتیں,'adaalate.n,courts
5940,عزیزی,'aziizii,"dearness, friendship, respect"
5941,غذائی,ghthay'i,Nutritional
5943,فقرہ,fiqra,line; phrase; sentence
5944,لاگت,lāgat,"expense; cost, price (ie. the base cost of an item or service etc.)"
5945,لسانیات,lisāniyāt,linguistics
5947,مبذول,mabzuul,"expended, lavished, spent"
5948,متقاضی,mutaqaazii,"one who exacts payment, importunate, demanding"
5949,مسلمات,muslimaat,Muslim women
5950,مسیحا,masīhā,a messiah
5951,مصرع,misra',one line of couplet
5952,مصروفیات,msrwfiat,Engagements
5953,معمر,mu’ammar,aged
5954,مچ,mach,sach-much -in reality
5955,نشے,nashshe,intoxications
5956,نہيں,nahii.n,"no, not, a negation, denial, disavowal"
5957,وال,vaala,a kind of silken cloth
5958,وبیش,wbish,and twenty
5961,گونج,guu.nj,"echo, resonance, hollow sound, reverberation"
5962,گوہر,gauhar,"pearl, gem, jewel"
5963,اعلامیے,a'lamiye,Declarations
5964,العربیہ,al'rbih,Arabia
5965,املاک,imlaak,"possessions, goods, estates, lands"
5966,اندرون,andrūn,"domestic, inland (as opposed to international)"
5967,اوڑھ,o.Dh,"cover, wrap"
5968,آڑے,liyaa diyaa aa.De aanaa,escape bad luck due to good deeds done earlier
5969,بروقت,bar-vaqt,"on time, apt, in place, in the nick of time"
5970,بعینہٖ,be-ainihii,"the very same, precisely, exactly, as it is"
5971,بکھرے,bkhrye,Scattered
5972,بہانہ,bahaana,"excuse, pretext, pretence, feint, plea, shift, subterfuge, evasion"
5973,تحریکیں,tahrīk,"motion, movement"
5974,تحمل,tahammul,"patience, endurance, liberality"
5975,تربیتی,tarbiyyatii,instructional
5976,تزکیہ,tazkiya,"edification, purification, sanctifying"
5977,تصرفات,tasarrufaat,sum total of expenses
5978,تعارض,ta'aaruz,"contradiction, competition, disputing, contention, confrontation, quarrelling, opposition, inconsistency"
5979,تقلیب,taqliib,(Lexical) changing
5980,تها,tha,That's it
5981,جاہل,jāhil,"idiotic, ignorant, uneducated, foolish"
5982,جید,jayyad,"great, approved, acclaimed, established"
5983,جیش,jaiś,army
5984,حالیکہ,dar-haalii-ki,"in case that, in the event of, under the circumstances"
5985,خریدی,xarīdnā,"to buy, to purchase"
5986,خور,KHor,"eating, drinking"
5987,داستانوں,dāstānõ,oblique plural of داسْتان (dāstān)
5988,دیس,des,homeland
5989,راجن,raajan,"Lord, king, minister, government,"
5990,روشناس,ruu-shanaas,"one who is known by sight, casual acquaintance, knowing, acquainted with"
5991,ریاستیں,riyāsat,"rule, control"
5992,زراعت,zira'at,agriculture
5993,ساس,sās,mother-in-law (mother of either spouse)
5995,سیاحت,siyāhat,journey
5996,شادیاں,śādī,"wedding, marriage"
5997,شیطانی,šaitānī,"diabolical, satanic, mischievous"
5998,صفوں,sfwn,Rows
5999,عجم,'ajam,"all other people except the Arabs, non-Arabian land, especially Persia"
6000,غزلیں,ġazal,"ghazal (a poetic form mostly used for love poetry in Middle Eastern, South, and Central Asian poetry)"
6001,فاتحہ,faatiha,"opening chapter of the Holy Quran, Fatiha"
6002,فرسودہ,farsuuda,"eroded, weathered, spoiled by time or age, effaced"
6003,لئیے,ly'iye,for
6004,لکھاری,likhaarii,"writer, author"
6005,لکیر,lakīr,"line, boundary"
6006,ماسکو,māsko,"Moscow (a federal city, the capital of Russia)"
6007,مصحفی,mus.hafii,"of Quran, Quranic"
6008,ملاقاتوں,mulāqāt,meeting
6009,موجب,muujib,"cause, motive, reason, account"
6010,مہدی,mahdii,"guide, spiritual guide"
6011,میزبانی,mezbaanii,"acting as a host, hospitality"
6012,نظریۂ,nazariya,theory
6013,نفیس,nafiis,"fine, nice, refined, choice"
6014,وعظ,vaa'z,"advice, sermon, preaching, admonition,homily"
6017,پناہی,pnahi,Refuge
6018,چھڑی,chha.Dii,a saint's ensign or banner
6019,ڈھانچہ,ḍhāñcā,"frame, structure"
6020,کروائے,krway'ye,Do it
6021,کسانوں,kisān,"farmer, cultivator"
6022,کھائے,khay'ye,eat
6024,ہری,harā,green-colored
6025,اتارا,utaaraa,"an offering of flowers, sweets, cash, etc. passed a certain number of times over the body of a sick person, exorcise an evil spirit or effects of black magic"
6026,اسلحے,aslhye,Weapons
6027,افسوسناک,afsos-naak,"sorrowful, regretful"
6029,آفت,amaddahft,pest
6030,آئس,amaddahy's,Ice
6032,بادشاہوں,bādśāh,"king, monarch"
6033,بچن,bachan,"composition, poetry"
6034,تضادات,tdadat,Contradictions
6036,حسنہ,hasana,"goodness, virtue"
6037,داس,daas,"servant, slave"
6038,راکھ,rākh,"ash, ashes"
6040,سعودیہ,s'wdih,Saudi Arabia
6041,سنانے,sunānā,to tell; to cause to listen
6042,سنبھالنے,snbhalnye,to handle
6044,شکلیں,shklin,Shapes
6045,صالحین,salhin,The righteous
6046,صوفیہ,suufiya,"the person who follows sufism, clean heart"
6047,فاعل,faa'il,"doer, performer, agent, subject, active partner in sodomy"
6048,فضائل,fday'l,Virtues
6049,فقرے,fiqre,"inflection of فِقْرَہ (fiqra, “line; phrase”):; direct plural"
6051,قائمہ,qay'mh,standing
6052,قربت,qurbat,"nearness, relationship, vicinity"
6053,قصۂ,qissa,"story, tale"
6054,قطب,qutb,pole
6055,لائحہ,lay'hh,Plan
6056,لگام,lagām,bridle
6057,مایہ,maaya,"mercy, illusion"
6058,مبالغہ,mubaalaGa,"exaggeration, boasts, hyperbole"
6059,متقدمین,mutaqaddimiin,"the ancients, former or ancient people"
6060,مخدوم,maxdūm,lord
6061,ملحد,mulhid,"one who deviates or departs from the true faith, one who strays away from religion, one who denies the resurrection of the dead, heretic, pagan, unbeliever, paynim, infidel"
6062,مٹا,miṭānā,erase
6063,مہمانوں,mhmanwn,The guests
6064,مہنگا,mahaṅgā,"expensive, costly"
6065,میکسیکو,meksīko,Mexico (a country in North America)
6066,مے,,wine
6068,پادری,pādrī,clergyman; Christian priest
6069,پاسداری,paasdaarii,"guard, protection, watch and ward, keeping, guarding, watchman-ship"
6071,پروین,parviin,"clever, intelligent, skilful, knowing, excellent"
6072,چوہے,chuuhe,rats
6074,کروانا,karvānā,"to cause to do, to make do or cause, to have or get done or made"
6076,کیمرہ,kaimra,camera
6080,امہات,ummahaat,mothers
6081,اوراس,awras,and the
6082,آدمیوں,amaddahdmiwn,The men
6083,بتوں,btõ,oblique plural of بت
6084,بدستور,ba-dastuur,according to custom
6085,تاثرات,tathrat,Feedback
6086,تاوان,taavaan,"penalty, forfeit, fine, mulct, fine for bloodshed"
6087,تقریریں,tqririn,Speeches
6088,ثانیہ,sāniya,second (unit of time)
6089,جلتی,jalnā,"to burn, be on fire"
6090,جھوٹا,jhūṭā,"false, untrue"
6091,دیباچے,dībāca,"preface, foreword"
6092,ذرية,thrya,offspring
6093,رنگین,ra.ngiin,"coloured, colourful, florid, ornate, multi-coloured, lively, fond of gaiety, addicted to pleasure, flowery (as style of language)"
6094,روکے,roke,"stay, stop"
6095,شکوک,shukuuk,doubts
6096,غایت,Gaayat,"purpose, motive, intensive, aim, goal"
6097,غزوۂ,ğazvah,"war, battle, clash"
6098,فلک,falak,heaven
6099,قبروں,qbrwn,The graves
6100,متواتر,mutavaatir,(Hadith) in an uninterrupted order (as chronologies or quotations) in hadis or hadith
6101,مستعار,musta'aar,"borrowed, obtained as a loan, taken on loan"
6102,مشرک,muśrik,polytheist
6103,مول,mūl,"original, basic, fundamental"
6105,ناں,nā,final emphatic particle
6106,نجکاری,nij-kaarii,privatization
6107,نسیم,nasīm,a gentle breeze; morning breeze; zephyr
6108,نشوونما,nashv-o-numaa,growing up
6111,پھنس,phanas,"jackfruit, jackfruit tree"
6112,پیشاب,peśāb,urine
6113,چلائے,tchlay'ye,run
6115,کیانی,kayaanii,"related to 'Kyan', belonging to the ancient kings of Iran, such wonderful and priceless thing that is worthy of great emperors"
6116,گالف,galf,Golf
6117,گمراہی,gumraahii,"depravity, deprivation, perverseness, being misled"
6118,اتارنے,tinkaa utaarne kaa ehsaan maan.naa,be obliged for a small favour
6119,الحج,alhj,Hajj
6121,آشکار,amaddahshkar,obvious
6122,باس,bas,Discussion
6123,بلکل,bilkul,misspelling of بِالْکُل (bilkul)
6124,بچایا,btchaia,saved
6125,بیٹھیں,bitthin,sit down
6126,تذلیل,tazliil,"humiliation, abasement, indignity, disgrace, degradation"
6127,ترسیل,tarsiil,"consignment, dispatch, remittance, sending, transmission, forwarding"
6128,تشیع,tashayyo',"claiming to be a Shiite, adopting Shi'ism"
6129,تعامل,ta'aamul,"interaction, mutual cooperation"
6130,تعرض,ta'arruz,"hindering, opposition, happening, occurring, coming before, presenting oneself (or itself), getting in the way, resisting, difference,"
6131,جادوگر,jādūgar,"magician, sorcerer, wizard, enchanter, conjurer"
6132,جاے,jaa.e,"place, location, room, seat"
6133,جنوں,junuu.n,"djinns, spirits"
6134,جنگجوؤں,jngjww'n,Warriors
6135,جھک,jhuknā,to bend
6136,جہیز,jahez,dowry
6137,خسرو,KHusrau,the celebrated king Cyrus or Chosroes an ancient Persian king
6138,خواص,KHavaas,"gentry, elite"
6139,دراں,darraa.n,"rending, tearing, ripper"
6140,دشوار,dushvaar,"difficult, hard, arduous, laborious, troublesome"
6141,دھوکے,dhoke,"deceit, deception, delusion, anything that may deceive or mislead"
6142,دیکارت,dikart,Descartes
6144,زیورات,zevar,"jewellery, ornament"
6145,ستاروں,sitārõ,"oblique plural of سِتارَہ (sitāra, “star”)"
6146,سرفہرست,sar-e-fihrist,in the list of top priority
6147,سرمائے,srmay'ye,Capital
6148,سننا,sunnā,"to listen, to hear"
6150,شعبان,shaa'baan,the eighth month of the Islamic calendar
6151,شماری,shumaarii,"act of counting, counting, numbering"
6152,شیو,śīv,Shiva
6153,صحن,ṣaḥn,courtyard
6154,عمارتیں,'imārat,building
6155,فجر,fajar,"daybreak, early morning, dawn of the day"
6156,فرش,farś,"carpet, carpeting, rug"
6157,فرمائش,frmay'sh,request
6158,فصاحت,fasaahat,"eloquence, fluency of speech, perspicuity"
6159,للہ,lillaah,for God's sake
6160,مادری,maadarii,"maternal, motherly"
6161,ماموں,māmū̃,maternal uncle
6162,مائدہ,may'dh,Mayda
6163,محاورے,muhaavare,"Idioms, proverbs"
6164,محصور,mahsuur,"encompassed, surrounded, besieged, beleaguered, beset, shut or hemmed in, detained, restrained, withheld, prevented"
6165,مریخ,mirrīx,Mars (planet)
6166,مظاہروں,mzahrwn,Demonstrations
6167,موسمیات,mausamiyaat,"meteorology, climatologyt"
6168,مٹ,miṭnā,to fade away
6169,ناواقف,naa-vaaqif,"stranger, unacquainted with, ignorant"
6170,نماے,nmaye,show off
6171,نژاد,niźād,race
6172,نیوی,nivedan,address
6173,وحشت,vahshat,"barbarity, wildness, ferocity, savageness, terror, frenzy, fright, horror, dread"
6175,ٹوٹنے,ṭūṭnā,to break
6176,پانچواں,pā̃cvā̃,fifth
6177,پسماندہ,pasmaanda,"the one left behind, left over, surplus"
6178,پوچھیں,pwtchhin,ask
6179,پڑھایا,prrhaia,taught
6181,چاہئیے,tchahy'iye,should
6182,چلاتے,cillānā,"to scream, to screech, to shriek"
6184,کود,kwd,Fertilizer
6186,گندگی,gandagī,"filth, dirt"
6187,استعارے,ast'arye,Metaphors
6188,اسوۂ,usva,"a leader, an ideal, a problem solver"
6189,الم,alam,"enough, sufficient, adequate, equal to"
6190,آمدن,amaddahmdn,to come
6191,اٹھارویں,attharwin,Eighteenth
6192,اڑ,uṛnā,"to fly, glide"
6193,باللہ,ballh,By Allah
6194,بربریت,barbariiyyat,"barbarity, barbarism, brutality, savagery, cruelty, brutalism"
6195,برتا,bartaa,used
6196,بھاپ,bhāp,hot breath; exhalation
6197,بہہ,bah,flow
6198,تجسس,tajassus,"curiosity, inquisitiveness, spying"
6199,تشریعی,tshri'i,legislative
6200,جد,jid,"effort, exertion, endeavor"
6201,دینار,diinaar,"an ancient Arab gold coin, a ducat, still it is a monetary unit of some Arab and other countries"
6202,رسومات,rasm,"tradition, custom"
6203,رہنی,rahnā,to live
6204,ریزی,rizi,tiny
6206,سبزی,sabzī,vegetable
6207,سروکار,sarokaar,"concern, business, relationship, connection, relation"
6208,سروں,srwn,heads
6210,شمع,śam',candle; lamp
6211,عجمی,ajamī,Ajami
6212,غداری,Gaddaarii,"treachery, perfidy, fraud, deception"
6213,غیب,Gaib,that which is hidden
6214,فرہنگ,farhaṅg,"dictionary, lexicon; glossary, vocabulary"
6215,فضول,fuzūl,pointless; futile; nonsense
6216,فوقیت,fauqiyat,"superiority, priority, supremacy, pre-eminence, preference"
6218,قرضوں,qarz,debt; loan; credit
6219,كسی,kisii,"any, anyone, someone, somebody, anybody"
6221,محی,muhayy,Muhi
6222,مداحوں,mdahwn,The fans
6223,مدح,mad.h,"praise, eulogium, encomium, commendation"
6224,مذکر,muzakkar,"masculine, of masculine gender"
6225,نصابی,nisaabii,"curricular, textual, related to curriculum"
6226,نمازیں,namāzẽ,"direct plural of نَماز (namāz, “salat; prayer”)"
6227,وطنی,vatanii,"belonging to one's country, of the same country, country-made"
6228,ٹوک,Tok,challenge
6229,ٹیک,Tek,"prop, pillar, support, assistance, help, lean, support, determination, resolve,mound, ridge, screen, veil, curtain, vow, promise"
6230,پہنچائی,phntchay'i,delivered
6231,پیروکاروں,pirwkarwn,Followers
6232,چارے,chehre,"countenance, face, mask, portrait"
6233,ڈھانپ,ḍhā̃pnā,to conceal
6234,کاشمیری,kaashmiirii,"native of Kashmir, made or originate from Kashmir, related to Kashmir, from Kashmir, language of Kashmir"
6235,کرسمس,kirismas,Christmas
6236,کچے,kaccā,raw
6237,گاوں,gawn,village
6238,گائوں,gay'wn,the village
6239,ھونے,hwnye,to be
6240,ہوجاتاہے,hwjatahye,It happens
6241,ہود,hūd,Hud
6243,اللغات,jaame'-ul-luGaat,Languages
6244,الکلام,'ilm-ul-kalaam,"use of logical arguments for proving Islamic beliefs, knowledge of oratory, eloquence"
6245,انعامات,in'ām,reward
6246,اولاً,avvalan,firstly
6247,آجاتے,amaddahjatye,would come
6249,برائیوں,bray'iwn,evils
6250,بشرطیکہ,ba-shart-e-ki,"if, in case, on the condition, provided that, on condition that"
6251,بہبود,bahbuud,"welfare, well-being, betterment, benefit, utility, vigour"
6252,تحریف,tahriif,"altering (words from their proper meanings), alteration, inversion, transposition (of a word or letter), forming an anagram, mistranscription clerical error, deliberate alteration of a word so as t, change its meaning, falsification, anagram"
6253,تدارک,tadaaruk,"repairing, amending"
6254,تعبیرات,ta'bīr,"interpretation, elucidation (of a dream)"
6255,تنازعہ,tanaaza'a,"dispute, controversy, discord, wrangling, strife"
6256,تکبیر,takbīr,takbir
6257,جالندھری,jalndhri,Jalandhari
6258,جھنڈا,jhanḍā,"flag, banner"
6259,خطابت,KHitaabat,the art of conveying one's ideas and objectives to others
6260,دئے,dy'ye,give
6261,رموز,rumuuz,"hints, signs, codes"
6262,رومانوی,ruumaanvii,Romantic
6263,رونق,raunaq,"splendour, brilliance, glow, lustre"
6265,سربراہان,srbrahan,The chiefs
6269,شاد,śād,"happy, glad, cheerful, joyful"
6270,شجاع,shujaa',"brave, valiant"
6271,صارف,ṣārif,user
6272,طاق,tāq,niche
6273,عتیق,'atiiq,"ancient, antiquated, old"
6274,عضو,uzv,"member, organ"
6275,فرمائیے,frmay'iye,Say it
6276,فریاد,faryād,"cry; shout, crying out for help or succour"
6277,فیروز,fiiroz,"victorious, successful"
6278,لیپ,lep,ointment
6280,مالش,maalish,"massaging, burnishing"
6281,مداح,maddaah,"one who praises much, panegyrist"
6282,معاویہ,m'awih,Muawiyah
6283,مقطعات,muqatta'aat,"initial letters of some Qur'anic suras, pieces, short verses or poems, small cuttings (of cloth)"
6284,ملانے,milānā,"to mix, blend"
6285,ناگوار,naagavaar,"unpleasant, disagreeable, awkward, unpalatable, unacceptable"
6286,ندوۃ,nadvat,
6287,وسیلہ,vasiila,"medium, means, resource"
6288,وظیفہ,vaziifa,"special prayers or incantation offered for specific purpose or on specific occasion, daily performance or task, function, duty, land bestowed in gift for past services"
6289,پائوں,pay'wn,feet
6290,پرجوش,pur-josh,"zealous, enthusiastic"
6293,چھاپہ,chāpa,raid
6294,ڈاڑھی,Daa.Dhii,beard
6295,کوفہ,kuufa,city name-Kufa
6297,گوشے,goshe,"corner, angles, privacy"
6298,اترا,utarnā,"to get down, to get off"
6299,اجرت,ujrat,"fee, remuneration, rent, tariff, wage, salary"
6300,اداسی,udāsī,"sorrow, sadness, melancholy"
6301,اسٹیڈیم,isṭeḍiyam,stadium
6302,افلاس,iflās,poverty
6303,اندھا,andhā,blind
6305,آمیزش,amaddahmizsh,intercourse
6306,بھتہ,bhatta,allowance
6307,تدابیر,tadaabiir,strategies
6308,توقعات,tavaqqo',"hope, expectation"
6310,جلدوں,jldwn,Soon
6311,داستانیں,dāstānẽ,direct plural of داسْتان (dāstān)
6312,دانستہ,daanista,"knowingly, wittingly, deliberately"
6313,درندگی,darindagii,rapacity
6314,دھکیل,dhakel,"shove, push, thrust"
6315,سزاؤں,szaw'n,Punishments
6316,سوتے,sote,direct plural/ oblique singular/ vocative singular of سوتا (sotā)
6317,صاحبہ,sāhib,sir
6318,صلوٰۃ,salāt,salat; prayer
6319,طبعئی,tb'y'i,physical
6320,ظالموں,zaalimo.n kaa baadshaah,"(fig) great tyrant, great oppressor"
6321,عنبرین,'ambariin,Amber
6322,مارنا,mārnā,"to beat, hit, strike"
6323,مبارکباد,mubārakbād,congratulations
6324,محمدی,muhammadī,"pertaining to Muhammad, for example in comparison with other prophets."
6325,محکم,mohkam,"clear, incontrovertible, perspicuous, unambiguous, unequivocal"
6326,مصوری,musavvarii,"painting, photography, drawing, graphic art, image-making"
6327,منائی,mnay'i,celebrated
6328,منحرف,munharif,"deviated, turned, strayed, deviating, opponent, turning from"
6329,موافقت,muvaafaqat,"accord, agreement, concord, conformity, correspondence, consonance, affinity"
6330,موقعوں,mauq'õ,"oblique plural of مَوقَع (mauqa', “opportunity”)"
6331,نامکمل,naa-mukammal,"incomplete, unfinished"
6333,وجودی,vajuudii,"existential, of or about existence, existing"
6334,ورثا,virsaa,"heritage, bequest, legacy"
6335,وقتاً,vaqtan,"from time to time, on time"
6336,ٹھہرے,ṭhaharnā,"to wait, stay, stop"
6338,پیپر,piipar,"ficus religiosa, pipal tree which is sacred to Hindus"
6339,پیچھا,piichhaa,"pursuit, chase, following, backside, behind, rear, the hind or back part, absence"
6340,چھان,chhaan,"husk, chaff"
6341,چہلم,chehlum,"remembrance and prayer service on or about the fortieth day after death, the fortieth day (of mourning"
6342,کاوشوں,kawshwn,Efforts
6343,کنویں,ku.nve.n,wells
6344,گزارے,guzaare,spent
6345,گنتی,gintī,counting
6346,ہزارہ,hzarh,Hazara
6347,ہنس,hãsnā,to laugh
6348,یادداشت,yāddāśt,memory
6349,اجتہادی,ijtihaadii,Ijtihadi
6350,اونٹوں,ū̃ṭõ,"oblique plural of اُون٘ٹ (ū̃ṭ, “camel”)"
6352,اہلخانہ,ahl-e-KHaana,family members i.e. wife and children
6353,ایڈز,EḌZ,AIDS
6354,باآسانی,baamaddahsani,easily
6355,بحیرہ,buhaira,sea
6356,بذریعہ,ba-zariya',"by way of, by means of, through, by reason of, by virtue of, through the intervention of"
6357,بنوں,bnwn,be
6359,تشخیص,tashKHiis,"appraisal, evaluation, ascertaining the disease of a patient"
6360,تعطل,ta'attul,"being or remaining without work, job or occupation, being void or vacant, idleness"
6361,جما,jamaa,"a collection, a number together, assemblage"
6362,جوائنٹ,jway'ntt,The joint
6363,دانتوں,daa.nto.n,teeth
6366,رہبر,rahbar,"leader, conductor, guide"
6367,ریاضی,riyāzī,"mathematics, maths"
6368,سازوں,sāz,"equipment, tool, thing"
6369,سوڈان,sūḍān,Sudan (a country in North Africa and East Africa)
6371,شہزادی,śahzādī,"princess (a king's daughter, granddaughter or other female descendant)"
6372,صحائف,shay'f,The Scriptures
6373,عدد,'adad,number
6374,علامتوں,'alāmatõ,oblique plural of عَلَامَت ('alāmat)
6375,غدار,ġaddār,"treacherous, disloyal, traitor"
6376,فلسطینیوں,flstiniwn,The Palestinians
6377,فوقتاً,vaqtan-fa-vaqtan,time to time
6379,لاٹھی,lāṭhī,lathi (bamboo used by police)
6380,لینی,lenii,ceremony on taking back child from wet nurse
6381,مادر,mādar,"mother, mama"
6382,ماؤں,maw'n,mothers
6383,مائیں,may'in,The mothers
6384,مجسمے,mujassame,"plural and short of 'mujassama', statues"
6385,مسح,mas.h,"handling, stroking, rubbing, wiping, drawing the hand over the surface (of anything, in order to wipe it)"
6386,مضمر,muzmar,"concealed, hidden, latent"
6387,معاذ,ma'aaz,"safe place, secure place, shelter"
6388,ملحدین,mlhdin,Atheists
6389,منتظمین,mntzmin,Administrators
6390,منصبی,mansabii,"of or pertaining to office, related to status, or official position, rank, official"
6391,منقسم,munqasim,"divided (into parts, or sections, or chapters), apportioned, distributed"
6392,منہج,manhaj,Minhaj
6393,ناحق,naa-haq,"in vain, uselessly"
6394,نفسی,nafasii,one's own self
6395,نقشے,naqśa,"map, chart"
6396,ننگے,nãṅgā,"nude, naked"
6397,ننھے,nanhā,"little, young, wee"
6398,نچلے,nichle,Lower
6399,نکالتے,nikālnā,"to remove, take out"
6400,ورانہ,wranh,वराना
6401,وہاب,vahaab,"Integrator too much charity, generous, donor"
6404,ٹھکانوں,ṭhikānā,"abode, home, place; proper place"
6405,پایہ,pāyā,foot or leg of an object
6407,پیچ,pech,"screw, a nail with raised spiral groove around it, a fold of turban, a trick in wrestling, enmity, bias, gripe, colic, plait, fold, tactics, deceit, stratagem, trouble, complication, entanglement, ambiguity, perplexity,winding, turn, coil, curl, twist"
6408,چاہی,cāhnā,to want
6409,چھوڑتے,choṛnā,to let go
6410,چھوڑی,choṛnā,to let go
6411,کارنامے,karnamye,Achievements
6412,کرینگے,kringye,will do
6413,کوں,kuu.n,to
6414,گدھے,gadhe,"inflection of گَدھا (gadhā, “donkey”):; direct plural"
6415,ھوتے,hwtye,would have been
6416,یتیموں,itimwn,Orphans
6417,اسپتالوں,asptalwn,Hospitals
6418,اعادہ,i'aada,"repetition, reiteration, revising"
6419,ايک,ek,"a, an, one"
6420,آراء,amaddahra',Opinions
6421,آم,amaddahm,mango
6422,آئن,,
6424,بخشنے,bkhshnye,to forgive
6425,بدیہی,badiihii,"apparent, manifest"
6426,بصری,basarii,"optical, ocular, visual"
6427,بچنا,bacnā,to be saved
6428,بھجوا,bhijvaanaa,"have something sent, send"
6429,بیع,bai',"sale, marketing, vending"
6430,بینگ,be.ng,"frog, paddock, toad"
6431,تذکروں,tthkrwn,Mentions
6432,جاسوسی,jaasuusii,"espionage, spying, detective's work, office of a spy"
6433,جانچ,jaa.nch,"trial, test, assessment, appraisal, examination"
6434,جھیل,jhīl,lake
6435,حدیبیہ,hudaibiya,Hudaybiya
6436,خداے,KHudaa.e,God
6437,خدوخال,KHad-o-KHaal,"features, shape, physique, appearance"
6438,درندوں,darindõ,oblique plural of دَرِنْدَہ (darinda)
6439,دھوم,dhūm,"uproar, commotion"
6441,رحمی,rhmi,Merciful
6442,روایتیں,,
6443,رکوع,rukuu',"bowing the body in Islamic prayer, genuflexion"
6444,ساتویں,sātvā̃,seventh
6446,شعراء,sh'ra',Poets
6448,فحش,fuhś,"vulgar, obscene, indecent"
6449,فضائیہ,fday'ih,Air Force
6450,قال,qal,He said
6451,قحط,qaht,"failure of the crops or harvest, famine, drought, dearth, want, penury, hunger, starvation"
6452,قیم,qiyam,the right one
6454,مرہون,marhuun,"pawned, hypothecated, deposited as a pledge, mortgaged"
6455,مشرکوں,mshrkwn,Polytheists
6456,موتی,motī,a given name for a dog
6457,موٹی,moṭī,"feminine of موٹا (moṭā, “fat”)"
6458,مڑ,mu.D,turn
6459,مگن,magan,"absorbed (in), deeply engaged (in)"
6460,نغمے,naġme,"inflection of نَغْمَہ (naġma, “melody; tune”):; direct plural"
6461,نچلی,nichlii,Lower
6462,وکلا,vukalaa,"lawyers, advocates"
6463,چارسدہ,cārsadda,"Charsadda (a city in Charsadda district, Khyber Pakhtunkhwa, Pakistan)"
6464,چڑیا,ciṛiyā,sparrow
6465,چھیڑ,chhe.D,"teasing, derision, harassment"
6466,ڈاکو,ḍākū,"bandit, thug, robber"
6467,گوجرانوالہ,gojrāṉvāla,"Gujranwala (a city in Punjab, Pakistan)"
6468,گھٹن,ghuTan,"suffocation, (of the weather) sultriness"
6469,ہالی,haalii,a farmer
6471,ابلیس,iblīs,"Iblis, Satan; the Devil"
6472,ازل,azal,eternity
6473,اطہر,at.har,"more or most pious, more or most chaste, pure or purest"
6474,انبیاء,ambiyā',"plural of نَبی (nabī, “prophet”)"
6475,اچکزئی,atchkzy'i,Achakzai
6477,ایمانی,iimaanii,"of the (Musalman) faith, faithful"
6478,بزم,bazm,"assembly, party, gathering, get-together, company, entertainment, feast, banquet"
